,Name,Rank,Tuition and fees
0,Princeton University,1,"$45,320 "
1,Harvard University,2,"$47,074 "
2,University of Chicago,3,"$52,491 "
3,Yale University,3,"$49,480 "
4,Columbia University,5,"$55,056 "
5,Stanford University,5,"$47,940 "
6,Massachusetts Institute of Technology,7,"$48,452 "
7,Duke University,8,"$51,265 "
8,University of Pennsylvania,8,"$51,464 "
9,Johns Hopkins University,10,"$50,410 "
10,Dartmouth College,11,"$51,438 "
11,California Institute of Technology,12,"$47,577 "
12,Northwestern University,12,"$50,855 "
13,Brown University,14,"$51,367 "
14,Cornell University,15,"$50,953 "
15,Rice University,15,"$43,918 "
16,University of Notre Dame,15,"$49,685 "
17,Vanderbilt University,15,"$45,610 "
18,Washington University in St. Louis,19,"$49,770 "
19,Emory University,20,"$47,954 "
20,Georgetown University,20,"$50,547 "
21,University of California--Berkeley,20,"$40,191 "
22,University of Southern California,23,"$52,217 "
23,Carnegie Mellon University,24,"$52,040 "
24,University of California--Los Angeles,24,"$39,518 "
25,University of Virginia,24,"$45,066 "
26,Tufts University,27,"$52,430 "
27,University of Michigan--Ann Arbor,27,"$43,476 "
28,Wake Forest University,27,"$49,308 "
29,University of North Carolina--Chapel Hill,30,"$33,916 "
30,Boston College,31,"$51,296 "
31,College of William & Mary,32,"$41,718 "
32,University of Rochester,32,"$50,142 "
33,Brandeis University,34,"$51,570 "
34,Georgia Institute of Technology,34,"$32,404 "
35,New York University,36,"$49,062 "
36,Case Western Reserve University,37,"$46,006 "
37,University of California--Santa Barbara,37,"$40,704 "
38,Boston University,39,"$50,240 "
39,Northeastern University,39,"$47,655 "
40,Rensselaer Polytechnic Institute,39,"$50,797 "
41,Tulane University,39,"$51,010 "
42,University of California--Irvine,39,"$39,458 "
43,Lehigh University,44,"$48,320 "
44,University of California--Davis,44,"$40,728 "
45,University of California--San Diego,44,"$41,387 "
46,University of Illinois--Urbana-Champaign,44,"$31,320 "
47,University of Miami,44,"$47,004 "
48,University of Wisconsin--Madison,44,"$32,738 "
49,Pepperdine University,50,"$50,022 "
50,University of Florida,50,"$28,666 "
51,Villanova University,50,"$49,280 "
52,Pennsylvania State University--University Park,50,"$32,382 "
53,Ohio State University--Columbus,54,"$29,229 "
54,University of Washington,54,"$34,791 "
55,George Washington University,56,"$51,950 "
56,Southern Methodist University,56,"$50,358 "
57,University of Georgia,56,"$29,844 "
58,University of Texas--Austin,56,"$34,676 "
59,Fordham University,60,"$47,317 "
60,Purdue University--West Lafayette,60,"$28,804 "
61,Syracuse University,60,"$45,022 "
62,University of Connecticut,60,"$35,858 "
63,University of Maryland--College Park,60,"$32,045 "
64,Worcester Polytechnic Institute,60,"$46,994 "
65,Clemson University,66,"$32,796 "
66,Yeshiva University,66,"$40,670 "
67,Brigham Young University--Provo,68,"$5,300 "
68,University of Pittsburgh,68,"$29,758 "
69,Rutgers University--New Brunswick,70,"$30,023 "
70,Baylor University,71,"$42,006 "
71,Stevens Institute of Technology,71,"$48,838 "
72,University of Minnesota--Twin Cities,71,"$22,210 "
73,American University,74,"$44,853 "
74,Clark University,74,"$43,150 "
75,Texas A&M University--College Station,74,"$28,768 "
76,University of Massachusetts--Amherst,74,"$30,123 "
77,Virginia Tech,74,"$29,371 "
